,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_4227,0.00899683679438682,0,10,1.22159453566286e-64,Up
herv_3786,0.0180878425622008,0.000211703443820225,6.41683179158543,4.72341384204794e-128,Up
herv_2741,0.00645892050894506,0.000270108529962547,4.57968195919543,6.53361720174555e-79,Up
herv_1090,0.0083225867544987,0.000392748558052434,4.40535412017913,2.34426808526767e-68,Up
herv_5838,0.0185347540415174,0.000454754284644195,5.34900192946416,2.13211435474999e-104,Up
herv_3777,0.00987714828763466,0.000574480213483146,4.1037654607685,2.15067671159114e-133,Up
herv_566,0.0286076210580408,0.000587122483146067,5.60659421731672,5.52178916353838e-77,Up
herv_3495,0.0298302553680855,0.000603403370786517,5.62750976216999,5.0992874279505e-88,Up
herv_3292,0.0161604593606846,0.000644869314606742,4.64731757489022,4.59662623833217e-158,Up
herv_3693,0.0125046038203319,0.000712939857677903,4.13253516088953,1.44384676106242e-76,Up
herv_3529,0.0230335504656106,0.000760594513108614,4.92046546822898,8.34710453850767e-53,Up
herv_3046,0.013878664714644,0.000801760284644195,4.11355400562862,1.30584969817387e-112,Up
herv_3178,0.0140776165117902,0.000861391852059925,4.03058960388126,9.85857203692256e-133,Up
herv_1180,0.0407372203577441,0.00104706442134831,5.28192543065838,1.09755315974866e-66,Up
herv_5062,0.029635803719631,0.00107076257116105,4.79063066353059,6.97198198984722e-54,Up
herv_4728,0.0243119672611361,0.00110755569662921,4.45621548142522,4.79432055077603e-85,Up
herv_1926,0.0215238451118562,0.00115067628807303,4.22538189805125,6.82308564320448e-78,Up
herv_4126,0.0214839165241272,0.00121121740262172,4.14872727685605,5.9747324902064e-73,Up
herv_5320,0.0224697413573927,0.00124883056741573,4.16933385759649,1.97514096950124e-191,Up
herv_2953,0.0302595266438582,0.00158567807677903,4.25421760837496,3.26752800240831e-178,Up
herv_6193,0.0358112285902077,0.00172952469850187,4.37196449322842,1.13744911526954e-53,Up
herv_1624,0.0372145588137895,0.00173667327434457,4.4214688665499,1.85944475282026e-110,Up
herv_2439,0.0298631915602062,0.0018277816423221,4.03020272557726,7.84666097582805e-66,Up
herv_1256,0.0335537793547262,0.00186899971348315,4.1661370215683,0,Up
herv_4039,0.0737657164201466,0.00189338432397004,5.28391127290335,7.23573319498191e-96,Up
herv_2879,0.0315801245188014,0.00189989550249064,4.05502488453073,8.01572187825996e-79,Up
herv_588,0.0475967853057898,0.00205020972359551,4.53702073593242,2.22220427113978e-71,Up
herv_2225,0.0375539908794579,0.00215283729775281,4.12465503572688,2.8352179224394e-100,Up
herv_4417,0.121777841998088,0.00222668835018727,5.77320819130275,2.53787551910087e-83,Up
herv_3393,0.0387198827227637,0.00225221242413858,4.10365977185486,5.33230470727817e-216,Up
herv_607,0.0380756581805012,0.00226547784082397,4.07098169084107,6.84890327540455e-278,Up
herv_6192,0.0423187305174616,0.00231804103183521,4.19031834100911,1.52896156198164e-54,Up
herv_5842,0.0426447659051023,0.00246031890640449,4.11545144535232,4.76986669714489e-136,Up
herv_707,0.0415686578634636,0.00253386203932584,4.03608628649291,3.14279600772976e-54,Up
herv_1493,0.0478927205051548,0.00282137236516854,4.0853373982427,8.79887753369364e-56,Up
herv_1229,0.0602377830628294,0.00297718435842697,4.3386482087914,1.0251658770487e-121,Up
herv_1692,0.0805751263170002,0.00298167300051685,4.7561405936564,3.06661533236617e-106,Up
herv_582,0.0581857341790968,0.00306222120037453,4.24801507524072,8.5061466241588e-73,Up
herv_2940,0.0538144378776857,0.00318732805680524,4.07757386368379,2.47033148529879e-102,Up
herv_1757,0.0654682206149052,0.00351697889513109,4.21838618521191,4.96904887746651e-63,Up
herv_3209,0.11835802758542,0.00354803651872659,5.05999289049211,7.10936910314835e-111,Up
herv_4038,0.0604125486442525,0.00357104224157303,4.08043114665136,1.12096569029081e-87,Up
herv_5678,0.0645906365931158,0.00364451049438202,4.14752807943844,3.16251200795174e-140,Up
herv_4525,0.0801564958998702,0.00389377272333333,4.36357885886385,1.11949942096237e-156,Up
herv_2356,0.0690901763124312,0.0041776602153558,4.04771353095992,8.63208912632194e-117,Up
herv_4006,0.0976621413781154,0.00448114011235955,4.44586167018332,1.07303706962479e-73,Up
herv_2543,0.120400572876859,0.00461608606461423,4.70502832380159,3.92948952986984e-61,Up
herv_5907,0.0946533996408849,0.00468296303332023,4.33716076899805,1.44399762305813e-76,Up
herv_2867,0.101963973548399,0.00471785042409738,4.43378601160325,5.64535297268673e-113,Up
herv_3914,0.0902991264078821,0.00483567377340824,4.22292320534552,1.47874839005776e-113,Up
herv_3587,0.113054642922108,0.00516481999625468,4.4521583622889,6.74335705362448e-143,Up
herv_1230,0.102735367751419,0.00528233121535581,4.28161435524898,5.96896932453168e-130,Up
herv_2323,0.129463117723123,0.00554801113445693,4.54442665902667,5.74041383483883e-283,Up
herv_2565,0.133332151388151,0.0055824616011236,4.5779794775723,0,Up
herv_2263,0.1084334869759,0.00575214528432584,4.23656644064461,9.6234499726156e-52,Up
herv_2748,0.107570587075826,0.00633766260299625,4.08518898957728,5.33996883945264e-93,Up
herv_4547,0.133662043731736,0.00709160283378277,4.23633428831238,1.12354577683224e-166,Up
herv_4300,0.143266118167794,0.00824495920599251,4.11904129284201,0,Up
herv_6265,0.209230007753287,0.00845441180711611,4.62924158090904,8.64765422090923e-136,Up
herv_2000,0.163772806323887,0.00984960006027341,4.05548686855401,4.66725791473792e-90,Up
herv_4585,0.20285788639158,0.0109022396535581,4.21777294621644,1.09830193483317e-142,Up
herv_4700,0.280384640748931,0.0116009568071161,4.59509161789848,4.186239425706e-122,Up
herv_2582,0.227908230078386,0.0122868185786517,4.21326971054922,3.02806930811849e-309,Up
herv_2914,0.375861157252803,0.0124795792904307,4.91255862593133,1.69718688737726e-158,Up
herv_1999,0.397704972253528,0.0188058207322097,4.40244742373866,3.07765983306026e-122,Up
herv_6196,0.307319732733805,0.0190001751385768,4.01565578199321,6.74242301012645e-142,Up
